time_sn,ctrlong,ctrlatr,ax_m_s2,ay_m_s2,az_m_s2,p_rad_s,q_rad_s,r_rad_s,quat_e0,quat_ex,quat_ey,quat_ez,alpha_rad,beta_rad,tas_m_s,de_rad,dr_rad,da_rad,mass_kg,thrust_N_1,lat_rad,lon_rad,alt_m
0,1,1,-0.658653701,0,-4.891536542,0,0,0,1,0,0,0,0,0,27,0,0,0,10.5,2.775758761,0.785398163,-2.129301687,1000
0.02,1,1,-0.620884693,-2.63E-05,-5.527980173,-0.012473037,0.076747881,-0.000660115,0.999999919,-6.71E-05,0.000416355,-3.94E-06,0.004236369,7.18E-06,26.9873168,0,0,0,10.49999936,2.983697357,0.785398248,-2.129301687,999.9990607
0.04,1,1,-0.575836928,5.16E-05,-6.200205213,-0.020229568,0.11865582,-0.000710722,0.999998975,-0.000233945,0.001420504,-1.12E-05,0.009167705,1.73E-05,26.9755138,0,0,0,10.49999872,3.176875321,0.785398333,-2.129301687,999.9964134
0.06,1,1,-0.525757973,0.000390104,-6.842764648,-0.024710106,0.130232504,-0.000386204,0.999996297,-0.00046093,0.002686655,-1.69E-05,0.014132797,1.86E-05,26.96444612,0,0,0,10.49999809,3.356359568,0.785398418,-2.129301687,999.9923237
0.08,1,1,-0.470333258,0.001063322,-7.372169589,-0.026923383,0.126071252,0.000145013,0.999991851,-0.00072066,0.003975267,-1.81E-05,0.018713958,4.63E-06,26.95406645,0,0,0,10.49999744,3.522989194,0.785398502,-2.129301687,999.9870431
0.1,1,1,-0.417274301,0.00208737,-7.833246664,-0.027580273,0.114484693,0.000763843,0.999986084,-0.000994214,0.005183454,-1.34E-05,0.022768088,-2.71E-05,26.94431129,0,0,0,10.4999968,3.677611183,0.785398587,-2.129301687,999.9807853
0.12,1,1,-0.368583987,0.003441312,-8.219061341,-0.027184631,0.09735491,0.001386909,0.999979698,-0.001268685,0.006246527,-2.23E-06,0.026218514,-7.66E-05,26.9350873,0,0,0,10.49999616,3.821100724,0.785398671,-2.129301687,999.9737343
0.14,1,1,-0.325755187,0.005081193,-8.526678609,-0.0260957,0.076505325,0.001956971,0.999973498,-0.001535439,0.007118233,1.51E-05,0.029029414,-0.000142182,26.92631986,0,0,0,10.49999552,3.954260094,0.785398756,-2.129301687,999.9660441
0.16,1,1,-0.289710638,0.006950102,-8.757389001,-0.024571032,0.053648329,0.00243614,0.999968224,-0.0017889,0.007770063,3.80E-05,0.031201172,-0.000221383,26.91795216,0,0,0,10.49999487,4.077821214,0.785398841,-2.129301687,999.9578377
0.18,1,1,-0.260780101,0.008985234,-8.915958401,-0.022796027,0.030313897,0.002800938,0.999964421,-0.002025689,0.008189769,6.54E-05,0.032764531,-0.000311072,26.90994316,0,0,0,10.49999423,4.192451057,0.785398925,-2.129301687,999.9492077
0.2,1,1,-0.23873325,0.011122747,-9.009811193,-0.02090926,0.007798244,0.003038371,0.999962383,-0.002244027,0.008379268,9.61E-05,0.033774096,-0.000407964,26.90226515,0,0,0,10.49999358,4.299008104,0.78539901,-2.129301687,999.9402178
0.22,1,1,-0.222917067,0.013301059,-9.048207402,-0.019008928,-0.01286512,0.003143853,0.999962139,-0.00244333,0.008352137,0.000128844,0.034301648,-0.000508786,26.89490146,0,0,0,10.49999294,4.398262147,0.785399094,-2.129301687,999.930906
0.24,1,1,-0.212416207,0.015462916,-9.041474706,-0.01716007,-0.030917163,0.003119126,0.9999635,-0.002623813,0.008130919,0.00016232,0.034429637,-0.000610419,26.88784337,0,0,0,10.49999229,4.490657174,0.785399178,-2.129301687,999.9212881
0.26,1,1,-0.206162649,0.017556573,-9.000294498,-0.015408352,-0.045867672,0.002970206,0.999966123,-0.002786242,0.007744388,0.000195208,0.034245185,-0.000709989,26.88108753,0,0,0,10.49999164,4.576604111,0.785399263,-2.129301688,999.9113621
0.28,1,1,-0.203055865,0.019536434,-8.935094035,-0.013784828,-0.05747437,0.002706241,0.999969589,-0.002931764,0.007224961,0.000226262,0.033834842,-0.000804915,26.87463406,0,0,0,10.49999099,4.656486961,0.785399347,-2.129301688,999.9011119
0.3,1,1,-0.202055934,0.021363324,-8.855561212,-0.012309401,-0.065711603,0.002338608,0.99997347,-0.003061779,0.006606363,0.000254325,0.033280296,-0.000892933,26.868485,0,0,0,10.49999034,4.73066667,0.785399432,-2.129301688,999.8905122
0.32,1,1,-0.202245955,0.023004528,-8.770284763,-0.010993407,-0.070732594,0.001880203,0.999977391,-0.003177839,0.00592165,0.000278356,0.032655086,-0.000972114,26.862643,0,0,0,10.49998969,4.799484243,0.785399516,-2.129301688,999.8795314
0.34,1,1,-0.20286586,0.024433685,-8.686516906,-0.009841572,-0.072828816,0.001344863,0.999981055,-0.003281577,0.00520162,0.000297445,0.032022339,-0.001040865,26.85711045,0,0,0,10.49998903,4.863263193,0.7853996,-2.129301688,999.868136
0.36,1,1,-0.203322982,0.02563059,-8.610048722,-0.008853513,-0.072389453,0.00074691,0.999984263,-0.003374643,0.004473639,0.000310826,0.031433447,-0.001097923,26.85188875,0,0,0,10.49998838,4.922311464,0.785399685,-2.129301688,999.8562929
0.38,1,1,-0.203186042,0.026580938,-8.545183879,-0.008024916,-0.069863308,0.000100763,0.999986909,-0.003458662,0.003760849,0.000317881,0.030927605,-0.001142349,26.84697781,0,0,0,10.49998773,4.976922897,0.785399769,-2.129301688,999.8439718
0.4,1,1,-0.202169008,0.02727602,-8.494793522,-0.007348458,-0.065724792,-0.000579371,0.999988964,-0.003535196,0.003081755,0.000318148,0.030532052,-0.001173518,26.84237576,0,0,0,10.49998708,5.027378338,0.785399853,-2.129301688,999.8311471
0.42,1,1,-0.200110115,0.027712389,-8.460434072,-0.006814546,-0.060445031,-0.001279762,0.999990462,-0.003605722,0.00245011,0.000311314,0.030262881,-0.001191096,26.83807877,0,0,0,10.49998642,5.073946428,0.785399938,-2.129301688,999.8177987
0.44,1,1,-0.19694982,0.027891484,-8.44250994,-0.006411915,-0.054468592,-0.00198737,0.99999147,-0.003671609,0.001875072,0.000297214,0.030126268,-0.001195031,26.83408103,0,0,0,10.49998577,5.116884131,0.785400022,-2.129301688,999.8039131
0.46,1,1,-0.19270992,0.027819219,-8.440464408,-0.006128115,-0.048195911,-0.002690021,0.999992076,-0.003734105,0.001361564,0.00027582,0.030119978,-0.001185527,26.83037483,0,0,0,10.49998511,5.156437033,0.785400106,-2.129301688,999.7894833
0.48,1,1,-0.187474854,0.027505545,-8.452983788,-0.005949912,-0.041971183,-0.003376555,0.999992369,-0.003794328,0.000910778,0.000247234,0.030235013,-0.001163021,26.82695077,0,0,0,10.49998446,5.192839467,0.78540019,-2.129301688,999.7745085
0.5,1,1,-0.181375356,0.026963973,-8.47820226,-0.005863634,-0.03607526,-0.004036933,0.999992431,-0.003853261,0.000520774,0.000211674,0.030457314,-0.001128157,26.82379799,0,0,0,10.4999838,5.226314498,0.785400274,-2.129301688,999.7589936
0.52,1,1,-0.174574205,0.026211075,-8.513897138,-0.005855458,-0.030722945,-0.004662318,0.99999233,-0.003911748,0.000187138,0.000169461,0.030769389,-0.001081763,26.82090453,0,0,0,10.49998314,5.257073829,0.785400359,-2.129301688,999.7429489
0.54,1,1,-0.167253658,0.025265978,-8.557666765,-0.005911656,-0.02606402,-0.005245133,0.999992118,-0.003970496,-9.64E-05,0.000121004,0.03115184,-0.001024819,26.81825767,0,0,0,10.49998249,5.285317663,0.785400443,-2.129301688,999.7263884
